Date,Views
2020-12-31,31964
2021-01-01,37509
2021-01-02,43579
2021-01-03,48414
2021-01-04,48705
2021-01-05,47818
2021-01-06,44676
2021-01-07,42925
2021-01-08,56244
2021-01-09,44023
2021-01-10,44781
2021-01-11,44833
2021-01-12,44094
2021-01-13,42336
2021-01-14,42493
2021-01-15,47365
2021-01-16,52269
2021-01-17,51290
2021-01-18,46751
2021-01-19,46428
2021-01-20,47671
2021-01-21,46395
2021-01-22,43660
2021-01-23,53824
2021-01-24,48443
2021-01-25,46408
2021-01-26,53058
2021-01-27,51306
2021-01-28,45749
2021-01-29,48100
2021-01-30,42296
2021-01-31,42518
2021-02-01,44633
2021-02-02,51431
2021-02-03,47658
2021-02-04,46539
2021-02-05,43703
2021-02-06,57877
2021-02-07,58118
2021-02-08,52018
2021-02-09,47608
2021-02-10,45379
2021-02-11,42594
2021-02-12,48623
2021-02-13,52187
2021-02-14,44173
2021-02-15,47319
2021-02-16,56205
2021-02-17,48848
2021-02-18,49244
2021-02-19,45844
2021-02-20,54410
2021-02-21,52137
2021-02-22,60760
2021-02-23,53657
2021-02-24,51857
2021-02-25,50660
2021-02-26,43837
2021-02-27,49486
2021-02-28,43938
2021-03-01,46366
2021-03-02,45323
2021-03-03,43586
2021-03-04,42541
2021-03-05,42947
2021-03-06,50438
2021-03-07,47652
2021-03-08,47639
2021-03-09,59917
2021-03-10,51850
2021-03-11,47048
2021-03-12,50362
2021-03-13,44831
2021-03-14,53271
2021-03-15,49557
2021-03-16,47600
2021-03-17,44844
2021-03-18,43969
2021-03-19,45113
2021-03-20,39791
2021-03-21,41873
2021-03-22,45825
2021-03-23,45228
2021-03-24,44057
2021-03-25,42091
2021-03-26,39934
2021-03-27,38108
2021-03-28,41370
2021-03-29,44612
2021-03-30,44403
2021-03-31,44086
2021-04-01,49895
2021-04-02,46448
2021-04-03,44388
2021-04-04,45851
2021-04-05,50689
2021-04-06,48892
2021-04-07,50069
2021-04-08,47309
2021-04-09,41559
2021-04-10,39666
2021-04-11,42080
2021-04-12,44374
2021-04-13,53177
2021-04-14,46853
2021-04-15,44595
2021-04-16,48784
2021-04-17,41386
2021-04-18,44540
2021-04-19,47879
2021-04-20,46718
2021-04-21,46880
2021-04-22,47655
2021-04-23,43107
2021-04-24,43110
2021-04-25,48343
2021-04-26,49842
2021-04-27,47493
2021-04-28,44326
2021-04-29,49836
2021-04-30,55501
2021-05-01,47840
2021-05-02,49685
2021-05-03,54151
2021-05-04,59796
2021-05-05,53706
2021-05-06,49592
2021-05-07,51102
2021-05-08,37679
2021-05-09,39068
2021-05-10,42095
2021-05-11,40919
2021-05-12,39725
2021-05-13,37104
2021-05-14,33552
2021-05-15,31890
2021-05-16,36132
2021-05-17,38125
2021-05-18,42352
2021-05-19,48675
2021-05-20,45484
2021-05-21,35640
2021-05-22,31525
2021-05-23,34524
2021-05-24,37922
2021-05-25,39890
2021-05-26,39789
2021-05-27,46185
2021-05-28,42948
2021-05-29,33225
2021-05-30,34346
2021-05-31,35378
2021-06-01,34822
2021-06-02,34269
2021-06-03,34057
2021-06-04,39905
2021-06-05,33419
2021-06-06,34575
2021-06-07,36796
2021-06-08,36973
2021-06-09,37048
2021-06-10,43985
2021-06-11,46911
2021-06-12,37110
2021-06-13,38857
2021-06-14,41491
2021-06-15,41158
2021-06-16,52718
2021-06-17,46910
2021-06-18,51942
2021-06-19,37879
2021-06-20,39548
2021-06-21,41845
2021-06-22,42535
2021-06-23,40661
2021-06-24,47889
2021-06-25,37701
2021-06-26,35886
2021-06-27,36856
2021-06-28,36876
2021-06-29,35705
2021-06-30,33995
2021-07-01,36082
2021-07-02,32862
2021-07-03,31384
2021-07-04,33459
2021-07-05,35644
2021-07-06,35194
2021-07-07,33771
2021-07-08,33317
2021-07-09,37487
2021-07-10,31266
2021-07-11,31317
2021-07-12,42147
2021-07-13,37557
2021-07-14,35417
2021-07-15,32940
2021-07-16,30707
2021-07-17,28270
2021-07-18,30466
2021-07-19,33515
2021-07-20,32489
2021-07-21,31992
2021-07-22,31899
2021-07-23,29871
2021-07-24,27801
2021-07-25,30446
2021-07-26,32292
2021-07-27,33367
2021-07-28,33215
2021-07-29,31287
2021-07-30,28173
2021-07-31,27686
2021-08-01,29278
2021-08-02,32537
2021-08-03,31218
2021-08-04,31675
2021-08-05,31149
2021-08-06,28534
2021-08-07,27862
2021-08-08,30672
2021-08-09,32480
2021-08-10,31949
2021-08-11,32399
2021-08-12,32707
2021-08-13,30065
2021-08-14,27984
2021-08-15,29016
2021-08-16,32522
2021-08-17,33932
2021-08-18,35361
2021-08-19,36430
2021-08-20,45996
2021-08-21,38760
2021-08-22,61894
2021-08-23,68989
2021-08-24,71295
2021-08-25,77106
2021-08-26,66053
2021-08-27,65263
2021-08-28,58845
2021-08-29,47258
2021-08-30,46145
2021-08-31,42069
2021-09-01,39885
2021-09-02,38896
2021-09-03,35290
2021-09-04,33581
2021-09-05,35971
2021-09-06,39695
2021-09-07,38014
2021-09-08,37530
2021-09-09,35746
2021-09-10,32641
2021-09-11,31346
2021-09-12,34818
2021-09-13,37277
2021-09-14,43877
2021-09-15,39789
2021-09-16,46982
2021-09-17,46048
2021-09-18,37968
2021-09-19,42331
2021-09-20,44146
2021-09-21,42582
2021-09-22,40416
2021-09-23,40760
2021-09-24,38676
2021-09-25,42282
2021-09-26,47319
2021-09-27,47030
2021-09-28,44605
2021-09-29,43894
2021-09-30,41358
2021-10-01,45295
2021-10-02,38687
2021-10-03,40642
2021-10-04,43833
2021-10-05,41685
2021-10-06,41760
2021-10-07,38022
2021-10-08,37871
2021-10-09,37407
2021-10-10,40565
2021-10-11,40945
2021-10-12,41911
2021-10-13,47526
2021-10-14,45746
2021-10-15,50767
2021-10-16,58019
2021-10-17,62001
2021-10-18,54444
2021-10-19,50817
2021-10-20,48116
2021-10-21,44068
2021-10-22,38726
2021-10-23,37515
2021-10-24,37390
2021-10-25,51315
2021-10-26,42449
2021-10-27,39732
2021-10-28,38710
2021-10-29,46249
2021-10-30,39433
2021-10-31,40350
2021-11-01,44105
2021-11-02,45019
2021-11-03,44717
2021-11-04,41428
2021-11-05,37932
2021-11-06,35456
2021-11-07,40050
2021-11-08,42048
2021-11-09,41950
2021-11-10,42231
2021-11-11,42814
2021-11-12,39649
2021-11-13,38266
2021-11-14,42304
2021-11-15,52619
2021-11-16,47599
2021-11-17,44793
2021-11-18,43555
2021-11-19,39919
2021-11-20,43701
2021-11-21,52284
2021-11-22,53114
2021-11-23,51791
2021-11-24,46233
2021-11-25,44785
2021-11-26,41472
2021-11-27,42549
2021-11-28,47557
2021-11-29,46878
2021-11-30,44918
2021-12-01,43292
2021-12-02,40742
2021-12-03,38132
2021-12-04,36575
2021-12-05,45295
2021-12-06,41139
2021-12-07,39110
2021-12-08,37681
2021-12-09,37225
2021-12-10,33720
2021-12-11,33213
2021-12-12,35651
2021-12-13,49592
2021-12-14,38496
2021-12-15,35506
2021-12-16,35978
2021-12-17,33083
2021-12-18,32854
2021-12-19,35871
2021-12-20,39680
2021-12-21,41842
2021-12-22,42454
2021-12-23,41770
2021-12-24,37815
2021-12-25,33710
2021-12-26,38014
2021-12-27,38105
2021-12-28,38837
2021-12-29,37527
2021-12-30,39142
