Timestamp,City,Country,Time Zone
12/31/2021 12:48:07,Toronto,Canada,EST
12/31/2021 12:48:07,Šaľa,Slovakia,GMT+1
12/31/2021 12:48:08,Stockholm,Sweden,CET
12/31/2021 12:48:17,Idukki,Kerala,+5:30
12/31/2021 12:48:18,North Richland Hills,United States,Central
12/31/2021 12:48:18,,Stockholm ,+1
12/31/2021 12:48:22,Amman,Jordan,GMT+2
12/31/2021 12:48:23,,Belgium,CET (GMT+1)
12/31/2021 12:48:23,Reghaia,Algeria,GMT+1
12/31/2021 12:48:25,Phoenix,Unites States,UTC-07:00
12/31/2021 12:48:26,Bristol,UK,Z
12/31/2021 12:48:27,,india,
12/31/2021 12:48:30,Brno,Czechia,UTC+1
12/31/2021 12:48:31,Nijmegen,Netherlands,CET
12/31/2021 12:48:31,West Nyack,America,EST
12/31/2021 12:48:33,Bengaluru,India,Indian Standard Time (+5:30)
12/31/2021 12:48:35,Santana de Parnaiba,Brazil,UTC-03:00
12/31/2021 12:48:35,Porto Alegre,Brazil,UTC-3:00
12/31/2021 12:48:36,,USA,Central Time Zone
12/31/2021 12:48:39,"Columbus",United States,EST
12/31/2021 12:48:40,Kavala,Greece,GMT+2
12/31/2021 12:48:42,London,UK,GMT
12/31/2021 12:48:43,New Delhi,India,GMT +5:30
12/31/2021 12:48:49,Stuttgart,Germany,UTC+01
12/31/2021 12:48:50,sfax,tunisia,
12/31/2021 12:48:50,Bordeaux ,France,GMT 
12/31/2021 12:48:52,Poria Illit,Israel,Israel Standard Time (GMT+2)
12/31/2021 12:48:52,Ivanovo,Russian Federation,
12/31/2021 12:48:53,Vienna,Austria,CST
12/31/2021 12:48:54,Pune,Country,IST
12/31/2021 12:48:55,Rostock,Germany,+1
12/31/2021 12:48:57,Goa,India,+5.30
12/31/2021 12:49:01,chicago,usa,gmt-6
12/31/2021 12:49:01,,Italy,1 - CEST
12/31/2021 12:49:05,Curitiba,Brazil,Utc-3
12/31/2021 12:49:07,Peshawar,Pakistan,GMT+5
12/31/2021 12:49:10,Agadir,Morocco,GTM+1
12/31/2021 12:49:12,zagreb,croatia,central european standard time
12/31/2021 12:49:18,Sudbury ON,Canada,Eastern -5
12/31/2021 12:49:19,Ulverston,UK,GMT London
12/31/2021 12:49:21,Bucharest,Romania,GMT+2
12/31/2021 12:49:32,Montreal,Canada,EST UTC -5
12/31/2021 12:49:33,Khartoum,Sudan,
12/31/2021 12:49:33,Kolkata,India,GMT+5:30
12/31/2021 12:49:40,Ecatepec,México,11:48 central standard time
12/31/2021 12:50:07,Pathum thani Province,Thailand, Indochina Time (GMT+7)
12/31/2021 12:51:07,,Germany,UTC+1
12/31/2021 12:51:13,Chiang rai,Thailand,UTC +7
12/31/2021 12:51:16,Pirambu,Brazil,gmt-3
12/31/2021 12:51:44,,France,
12/31/2021 12:53:37,Jaffna,Sri Lanka,India Standard Time
12/31/2021 12:54:55,Cleveland ,USA,EST
12/31/2021 13:15:25,Mashhad,Iran,GMT+3:30
12/31/2021 13:15:25,Exeter,UK,GMT
12/31/2021 13:15:31,Merano,Italy,CET
12/31/2021 13:15:32,Sousse,Tunisia,GMT+1
12/31/2021 13:15:33,Sheffield,United Kingdom,GMT
12/31/2021 13:15:39,Tamilnadu,India,GMT+5:30
12/31/2021 13:15:55,Montreal,Canada,EST
12/31/2021 13:16:04,Red Deer,Canada,MST
12/31/2021 13:16:10,Bengaluru,India,IST(UTC + 5:30)
12/31/2021 13:16:14,Regensburg,Germany,MEZ
12/31/2021 13:16:14,Winchester,United Kingdom,GMT
12/31/2021 13:16:19,Bankeryd,Sweden,gmt+1
12/31/2021 13:16:21,Nancy,France,UTC+1
12/31/2021 13:16:22,Vadodara,India,
12/31/2021 13:16:28,Portland,US,America/Los_Angeles
12/31/2021 13:16:29,New Delhi,India,23:47
12/31/2021 13:16:32,Kassel,Germany,CET
12/31/2021 13:16:33,Blacksburg,USA,EST
12/31/2021 13:16:41,Paris,France,UTC+1
12/31/2021 13:16:41,"Golden",United States,MST
12/31/2021 13:16:41,Sturbridge,US,ET
12/31/2021 13:16:42,Batumi,Georgia,+4
12/31/2021 13:16:55,,austria,
12/31/2021 13:16:55,Seville,Spain,19:16 (GMT+1) 
12/31/2021 13:17:01,Stuttgart,Germany,CET
12/31/2021 13:17:22,Botad,India,(GMT+5:30)
12/31/2021 13:17:24,Holly Springs,United States,EST
12/31/2021 13:19:01,,United States,MST
12/31/2021 13:21:20,Ernakulam,India,IST
12/31/2021 13:21:28,Saint Petersburg ,Russia,GMT +3